first_day_in_week,last_day_in_week,BRAM_main_symb_weekly_mean_diff,CFX.TA_weekly_mean_diff_-0.37
2019-03-10,2019-03-16,5.25999755859375,-3.6599975585937727
2019-03-17,2019-03-23,1.160003662109375,0.05999755859377274
2019-03-24,2019-03-30,-0.360003662109375,-4.979998779296875
2019-03-31,2019-04-06,-1.35999755859375,-2.479998779296875
2019-04-07,2019-04-13,2.55999755859375,-1.960003662109375
2019-04-14,2019-04-20,4.060003662109375,0.2799987792968864
2019-04-21,2019-04-27,-2.920001220703125,1.9
2019-04-28,2019-05-04,-3.2,0.24000244140623864
2019-05-05,2019-05-11,-5.0,-5.6
2019-05-12,2019-05-18,0.15999755859375,0.7
2019-05-19,2019-05-25,-0.739996337890625,-0.120001220703125
2019-05-26,2019-06-01,-0.74000244140625,1.9
2019-06-02,2019-06-08,-0.720001220703125,-0.979998779296875
2019-06-09,2019-06-15,-0.1,-0.45999755859375
2019-06-16,2019-06-22,1.460003662109375,-1.0
2019-06-23,2019-06-29,0.039996337890625,-2.820001220703125
2019-06-30,2019-07-06,-0.2,-2.74000244140625
2019-07-07,2019-07-13,-0.079998779296875,2.2
2019-07-14,2019-07-20,-4.9,-1.65999755859375
2019-07-21,2019-07-27,0.55999755859375,0.45999755859375
2019-07-28,2019-08-03,-2.079998779296864,1.420001220703125
2019-08-04,2019-08-10,-5.119998168945324,2.14000244140625
2019-08-11,2019-08-17,0.1399993896484375,3.75999755859375
2019-08-18,2019-08-24,-1.4,0.520001220703125
2019-08-25,2019-08-31,2.120001220703119,-4.5
2019-09-01,2019-09-07,8.77999877929688,-10.060003662109363
2019-09-08,2019-09-14,-2.8000030517578125,0.6600036621093637
2019-09-15,2019-09-21,4.1800048828125,-4.474998474121094
2019-09-22,2019-09-28,-2.3000030517578125,0.779998779296875
2019-09-29,2019-10-05,-2.100006103515625,4.25
2019-10-06,2019-10-12,2.4666748046875,0.2999979654947917
2019-10-13,2019-10-19,-0.100006103515625,2.866668701171875
2019-10-20,2019-10-26,-0.639996337890625,7.066660563151061
2019-10-27,2019-11-02,-2.7800048828125,-5.719995117187511
2019-11-03,2019-11-09,1.260003662109375,-1.6800048828124887
2019-11-10,2019-11-16,1.85999755859375,2.0
2019-11-17,2019-11-23,0.5,-2.8
2019-11-24,2019-11-30,-0.479998779296875,3.6800048828124887
2019-12-01,2019-12-07,1.4,-5.8800048828124885
2019-12-08,2019-12-14,-0.2,-3.5599975585937615
2019-12-15,2019-12-21,0.220001220703125,2.920001220703125
2019-12-22,2019-12-28,3.639996337890625,-0.920001220703125
2019-12-29,2020-01-04,0.920001220703125,-5.720001220703125
2020-01-05,2020-01-11,1.260003662109375,-3.25999755859375
2020-01-12,2020-01-18,1.5199951171875,1.520001220703125
2020-01-19,2020-01-25,-0.85999755859375,-4.360003662109375
2020-01-26,2020-02-01,-5.620001220703125,6.9
2020-02-02,2020-02-08,-1.45999755859375,0.020001220703125
2020-02-09,2020-02-15,-0.54000244140625,-8.320001220703125
2020-02-16,2020-02-22,-3.999999999999989,-1.820001220703125
2020-02-23,2020-02-29,-9.099998474121106,2.24000244140625
2020-03-01,2020-03-07,-6.025001525878898,1.6750030517578125
2020-03-08,2020-03-14,-0.7799987792968807,-3.3000030517578125
2020-03-15,2020-03-21,8.22000122070312,-3.020001220703125
2020-03-22,2020-03-28,1.3799987792968806,0.220001220703125
2020-03-29,2020-04-04,1.2999979654948106,-3.0200012207031137
2020-04-05,2020-04-11,-7.466664632161478,6.633331298828106
2020-04-12,2020-04-18,-2.379998779296881,6.300008138020833
2020-04-19,2020-04-25,-1.6333363850911364,5.539996337890625
2020-04-26,2020-05-02,-0.1399993896484375,6.933339436848958
2020-05-03,2020-05-09,0.2,-0.34000244140625
2020-05-10,2020-05-16,2.0799987792968806,-7.5
2020-05-17,2020-05-23,0.825000762939446,2.75999755859375
2020-05-24,2020-05-30,-0.5,-3.1999969482421875
2020-05-31,2020-06-06,10.575000762939453,-5.25999755859375
2020-06-07,2020-06-13,4.979998779296875,2.9249954223632812
2020-06-14,2020-06-20,-2.6,-1.020001220703125
2020-06-21,2020-06-27,1.6999988555908316,-1.679998779296875
2020-06-28,2020-07-04,-1.6599964141845818,2.0200025558471566
2020-07-05,2020-07-11,4.439996337890625,-1.2400037765502816
2020-07-12,2020-07-18,5.420001220703125,-0.639996337890625
2020-07-19,2020-07-25,7.75,1.520001220703125
