first_day_in_week,last_day_in_week,LUZN_main_symb_weekly_mean_diff,BBYL.TA_weekly_mean_diff_0.35
2019-03-03,2019-03-09,-0.1,-1.2399993896484376
2019-03-10,2019-03-16,0.1,-0.7
2019-03-17,2019-03-23,0.24000015258789065,2.3399993896484377
2019-03-24,2019-03-30,-0.4400001525878906,-0.2399993896484375
2019-03-31,2019-04-06,-0.1400001525878906,0.979998779296875
2019-04-07,2019-04-13,-0.21999969482421874,-0.4199981689453125
2019-04-14,2019-04-20,0.019999694824217328,0.3600006103515625
2019-04-21,2019-04-27,0.38000030517578265,-0.1
2019-04-28,2019-05-04,-0.15999984741210938,-0.3600006103515625
2019-05-05,2019-05-11,-0.2200004577636733,0.6600006103515625
2019-05-12,2019-05-18,0.3200004577636733,-0.5600006103515625
2019-05-19,2019-05-25,0.01999969482421875,1.1199981689453125
2019-05-26,2019-06-01,-0.07999954223632813,-0.45999755859375
2019-06-02,2019-06-08,-0.1400001525878906,-0.5
2019-06-09,2019-06-15,-0.18000030517577986,0.05999755859375
2019-06-16,2019-06-22,0.09999999999999858,0.24000244140625
2019-06-23,2019-06-29,-0.15999984741210938,0.1199981689453125
2019-06-30,2019-07-06,-0.1400001525878892,0.7399993896484375
2019-07-07,2019-07-13,-0.1599998474121108,0.5600006103515625
2019-07-14,2019-07-20,0.1599998474121108,0.7600006103515625
2019-07-21,2019-07-27,-0.4000000000000007,-0.8
2019-07-28,2019-08-03,-0.7799999237060554,0.4399993896484375
2019-08-04,2019-08-10,-0.1,0.8399993896484375
2019-08-11,2019-08-17,0.6,-0.2399993896484375
2019-08-18,2019-08-24,0.5000003814697266,-1.2600006103515624
2019-08-25,2019-08-31,-0.4800003051757813,1.0
2019-09-01,2019-09-07,-0.4200000762939453,-1.079998779296875
2019-09-08,2019-09-14,0.0,-0.0399993896484375
2019-09-15,2019-09-21,-0.2,-0.17499923706054688
2019-09-22,2019-09-28,0.5500001907348633,0.1399993896484375
2019-09-29,2019-10-05,0.0,-2.5
2019-10-06,2019-10-12,-0.09999974568685016,0.2999979654947917
2019-10-13,2019-10-19,-0.6666666666666666,1.3000030517578125
2019-10-20,2019-10-26,-0.14000015258788992,-0.23333740234375
2019-10-27,2019-11-02,-0.17999992370605394,-0.4
2019-11-03,2019-11-09,0.02000007629394389,-0.6
2019-11-10,2019-11-16,0.11999969482422015,-0.45999755859375
2019-11-17,2019-11-23,-0.01999969482422017,-0.120001220703125
2019-11-24,2019-11-30,-0.24000015258788995,0.720001220703125
2019-12-01,2019-12-07,-0.17999992370605394,-0.1
2019-12-08,2019-12-14,-0.12000007629394603,0.1399993896484375
2019-12-15,2019-12-21,0.9799999237060548,0.2199981689453125
2019-12-22,2019-12-28,0.3400001525878913,10.820001220703125
2019-12-29,2020-01-04,0.4,2.5200012207031195
2020-01-05,2020-01-11,0.03999977111816407,-0.7200012207031193
2020-01-12,2020-01-18,-0.1599998474121101,8.35999755859375
2020-01-19,2020-01-25,0.9400001525878906,3.1
2020-01-26,2020-02-01,0.1,-3.679998779296864
2020-02-02,2020-02-08,0.07999954223632813,1.0200012207031137
2020-02-09,2020-02-15,0.020000457763671875,-4.660000610351562
2020-02-16,2020-02-22,0.040000152587890615,2.120001220703125
2020-02-23,2020-02-29,-0.4500007629394549,-5.4399993896484435
2020-03-01,2020-03-07,-0.2749996185302717,-6.275001525878899
2020-03-08,2020-03-14,-0.040000152587889214,-7.450000762939453
2020-03-15,2020-03-21,-0.07999954223632955,-4.839999389648438
2020-03-22,2020-03-28,0.5199996948242187,1.020001220703125
2020-03-29,2020-04-04,0.16666666666666666,3.6
2020-04-05,2020-04-11,0.8333333333333334,6.166666666666657
2020-04-12,2020-04-18,-0.1400001525878906,-5.100001017252595
2020-04-19,2020-04-25,0.1333338419596354,1.7
2020-04-26,2020-05-02,0.15999984741210938,2.733332316080729
2020-05-03,2020-05-09,0.3800003051757813,-1.4399993896484375
2020-05-10,2020-05-16,-0.4200004577636719,-4.8600006103515625
2020-05-17,2020-05-23,-0.19999980926513672,1.420001220703125
2020-05-24,2020-05-30,0.5199996948242187,-0.3500022888183594
2020-05-31,2020-06-06,0.6000003814697266,14.260000610351563
2020-06-07,2020-06-13,0.9400001525878906,4.25
2020-06-14,2020-06-20,0.6400001525878892,8.120001220703125
2020-06-21,2020-06-27,0.13999915122986126,-8.840002441406245
2020-06-28,2020-07-04,-0.6999997615814223,1.420000267028803
2020-07-05,2020-07-11,0.12000045776367188,3.0000009536743164
2020-07-12,2020-07-18,-0.0599998474121108,-3.3399993896484377
