first_day_in_week,last_day_in_week,RMN_main_symb_weekly_mean_diff,NVLG.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,-3.0,-1.4399993896484404
2019-03-17,2019-03-23,4.8,-1.0200012207031193
2019-03-24,2019-03-30,3.2,-0.859999084472659
2019-03-31,2019-04-06,18.6,5.040000915527344
2019-04-07,2019-04-13,-11.6,0.7399993896484375
2019-04-14,2019-04-20,-6.0,-0.620001220703125
2019-04-21,2019-04-27,-10.2,-0.8600006103515625
2019-04-28,2019-05-04,3.6,0.720001220703125
2019-05-05,2019-05-11,-8.2,-0.16000061035155683
2019-05-12,2019-05-18,-7.6,1.0200012207031193
2019-05-19,2019-05-25,-4.0,-0.5800018310546875
2019-05-26,2019-06-01,10.0,-0.4399993896484318
2019-06-02,2019-06-08,-4.8,-1.7399993896484431
2019-06-09,2019-06-15,-6.4,1.379998779296875
2019-06-16,2019-06-22,-1.8,0.44000244140625
2019-06-23,2019-06-29,-1.3199951171875228,0.6
2019-06-30,2019-07-06,-1.1600097656249546,1.0
2019-07-07,2019-07-13,-2.579992675781273,0.65999755859375
2019-07-14,2019-07-20,-4.720007324218726,-0.879998779296875
2019-07-21,2019-07-27,-3.0199951171875226,0.4600006103515625
2019-07-28,2019-08-03,-2.2199951171875227,-1.1600006103515625
2019-08-04,2019-08-10,-3.7,0.479998779296875
2019-08-11,2019-08-17,0.8799926757812727,-1.279998779296875
2019-08-18,2019-08-24,0.05999755859377274,0.3600006103515625
2019-08-25,2019-08-31,21.98000488281248,3.0199981689453126
2019-09-01,2019-09-07,-9.8,3.14000244140625
2019-09-08,2019-09-14,-0.9499969482421876,-2.3600006103515625
2019-09-15,2019-09-21,4.75999755859375,-1.5499992370605469
2019-09-22,2019-09-28,32.5,0.95999755859375
2019-09-29,2019-10-05,-7.666666666666668,-4.4499969482421875
2019-10-06,2019-10-12,-9.0,0.7333323160807291
2019-10-13,2019-10-19,-13.23333740234375,0.3000030517578125
2019-10-20,2019-10-26,-6.8199951171875,3.0999959309895835
2019-10-27,2019-11-02,-7.34000244140625,0.2600006103515625
2019-11-03,2019-11-09,4.080004882812477,1.720001220703125
2019-11-10,2019-11-16,0.3199951171875227,-0.5800018310546875
2019-11-17,2019-11-23,-17.7800048828125,-1.4
2019-11-24,2019-11-30,-2.8199951171875,-0.35999755859375
2019-12-01,2019-12-07,7.8,-2.54000244140625
2019-12-08,2019-12-14,-11.3,2.0800018310546875
2019-12-15,2019-12-21,-10.5,-0.5600006103515625
2019-12-22,2019-12-28,20.34000244140625,0.2
2019-12-29,2020-01-04,6.27999267578125,3.579998779296875
2020-01-05,2020-01-11,-11.65999755859375,0.820001220703125
2020-01-12,2020-01-18,-7.05999755859375,6.320001220703119
2020-01-19,2020-01-25,-6.35999755859375,0.6199981689453182
2020-01-26,2020-02-01,-9.44000244140625,-2.9
2020-02-02,2020-02-08,3.94000244140625,2.0
2020-02-09,2020-02-15,-2.94000244140625,0.9
2020-02-16,2020-02-22,-10.3199951171875,0.220001220703125
2020-02-23,2020-02-29,-1.350006103515625,-2.4600006103515626
2020-03-01,2020-03-07,-30.699996948242216,-2.5
2020-03-08,2020-03-14,-17.040002441406227,-4.75
2020-03-15,2020-03-21,4.6,1.4600006103515626
2020-03-22,2020-03-28,21.8199951171875,3.8600006103515567
2020-03-29,2020-04-04,5.800008138020832,-2.0
2020-04-05,2020-04-11,1.3000081380208333,6.299997965494801
2020-04-12,2020-04-18,1.6,0.0
2020-04-19,2020-04-25,14.5333251953125,7.179998779296881
2020-04-26,2020-05-02,-3.7199951171875,3.7000020345051987
2020-05-03,2020-05-09,-1.4800048828125,-3.2200012207031192
2020-05-10,2020-05-16,-1.2,-3.539999389648443
2020-05-17,2020-05-23,22.55000305175781,10.219998168945313
2020-05-24,2020-05-30,-8.44000244140625,-4.6999969482421875
2020-05-31,2020-06-06,2.9250030517578125,1.2
2020-06-07,2020-06-13,-7.3800048828125,1.625
2020-06-14,2020-06-20,-2.3,-0.42000122070311363
2020-06-21,2020-06-27,-9.799994277954102,0.02000122070311363
2020-06-28,2020-07-04,-3.820000839233399,2.0999998092651366
2020-07-05,2020-07-11,4.4199951171875,2.200000190734863
2020-07-12,2020-07-18,2.65999755859375,0.4
2020-07-19,2020-07-25,-3.29998779296875,3.74000244140625
