first_day_in_week,last_day_in_week,SCOP_main_symb_weekly_mean_diff,SANO1.TA_weekly_mean_diff_0.37
2019-03-10,2019-03-16,26.0,18.0
2019-03-17,2019-03-23,-14.2,-6.0
2019-03-24,2019-03-30,-50.4,-2.0
2019-03-31,2019-04-06,9.0,-102.0
2019-04-07,2019-04-13,61.8,-16.0
2019-04-14,2019-04-20,-6.8,-32.0
2019-04-21,2019-04-27,-27.0,106.0
2019-04-28,2019-05-04,-31.0,16.0
2019-05-05,2019-05-11,-14.4,-8.0
2019-05-12,2019-05-18,-105.6,-52.0
2019-05-19,2019-05-25,-86.0,72.0
2019-05-26,2019-06-01,0.4,106.0
2019-06-02,2019-06-08,23.6,26.0
2019-06-09,2019-06-15,-28.0,40.0
2019-06-16,2019-06-22,0.8,92.0
2019-06-23,2019-06-29,12.0,-24.0
2019-06-30,2019-07-06,101.0,30.0
2019-07-07,2019-07-13,-61.2,18.0
2019-07-14,2019-07-20,-13.0,36.0
2019-07-21,2019-07-27,-4.2,18.0
2019-07-28,2019-08-03,-111.8,-12.0
2019-08-04,2019-08-10,-116.2,28.0
2019-08-11,2019-08-17,18.6,68.0
2019-08-18,2019-08-24,89.2,4.0
2019-08-25,2019-08-31,-40.2,-22.0
2019-09-01,2019-09-07,110.2,6.0
2019-09-08,2019-09-14,-22.75,-42.0
2019-09-15,2019-09-21,-14.0,-22.5
2019-09-22,2019-09-28,-92.5,20.0
2019-09-29,2019-10-05,67.66666666666667,185.0
2019-10-06,2019-10-12,203.33333333333331,196.66666666666666
2019-10-13,2019-10-19,-81.33333333333333,110.0
2019-10-20,2019-10-26,13.2,63.333333333333336
2019-10-27,2019-11-02,-41.0,-20.0
2019-11-03,2019-11-09,6.2,-98.0
2019-11-10,2019-11-16,40.0,80.0
2019-11-17,2019-11-23,-79.0,30.0
2019-11-24,2019-11-30,7.4,170.0
2019-12-01,2019-12-07,-14.6,112.0
2019-12-08,2019-12-14,-33.4,-100.0
2019-12-15,2019-12-21,1.0,-174.0
2019-12-22,2019-12-28,11.6,-86.0
2019-12-29,2020-01-04,-4.0,80.0
2020-01-05,2020-01-11,-18.4,130.0
2020-01-12,2020-01-18,-7.2,-12.0
2020-01-19,2020-01-25,16.0,56.0
2020-01-26,2020-02-01,1.4,-144.0
2020-02-02,2020-02-08,-34.4,-78.0
2020-02-09,2020-02-15,53.2,-30.0
2020-02-16,2020-02-22,-77.8,180.0
2020-02-23,2020-02-29,-114.75,-360.0
2020-03-01,2020-03-07,-377.75,102.5
2020-03-08,2020-03-14,-206.6,-690.0
2020-03-15,2020-03-21,88.4,40.0
2020-03-22,2020-03-28,150.2,214.0
2020-03-29,2020-04-04,62.66666666666666,236.0
2020-04-05,2020-04-11,-84.66666666666667,176.66666666666666
2020-04-12,2020-04-18,150.4,643.3333333333334
2020-04-19,2020-04-25,135.66666666666666,446.0
2020-04-26,2020-05-02,-17.0,-26.666666666666668
2020-05-03,2020-05-09,-189.6,-294.0
2020-05-10,2020-05-16,116.8,-78.0
2020-05-17,2020-05-23,-155.0,270.0
2020-05-24,2020-05-30,-2.8,-5.0
2020-05-31,2020-06-06,-28.5,-12.0
2020-06-07,2020-06-13,-4.0,5.0
2020-06-14,2020-06-20,-108.8,-8.0
2020-06-21,2020-06-27,49.60001525878888,-270.0
2020-06-28,2020-07-04,-81.80001525878887,-63.999877929688225
2020-07-05,2020-07-11,-3.0,97.99987792968822
2020-07-12,2020-07-18,21.2,-56.0
2020-07-19,2020-07-25,-30.0,22.0
