first_day_in_week,last_day_in_week,TREN_main_symb_weekly_mean_diff,KTOV.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,25.0,12.6800048828125
2019-03-17,2019-03-23,-13.4,-14.220007324218738
2019-03-24,2019-03-30,-3.0,-6.219995117187511
2019-03-31,2019-04-06,7.0,-0.74000244140625
2019-04-07,2019-04-13,-7.8,-1.379998779296875
2019-04-14,2019-04-20,3.6,-1.3
2019-04-21,2019-04-27,-5.2,-2.179998779296875
2019-04-28,2019-05-04,-11.8,-2.84000244140625
2019-05-05,2019-05-11,-8.0,-0.420001220703125
2019-05-12,2019-05-18,15.0,-1.079998779296875
2019-05-19,2019-05-25,-1.4,-2.379998779296875
2019-05-26,2019-06-01,-5.6,-8.360003662109374
2019-06-02,2019-06-08,6.0,-0.339996337890625
2019-06-09,2019-06-15,8.4,-0.14000244140625
2019-06-16,2019-06-22,-7.8,0.9
2019-06-23,2019-06-29,-4.8,6.1
2019-06-30,2019-07-06,4.8,-2.239996337890625
2019-07-07,2019-07-13,7.4,6.279998779296875
2019-07-14,2019-07-20,-5.4,-1.54000244140625
2019-07-21,2019-07-27,-11.4,-9.739996337890625
2019-07-28,2019-08-03,9.8,-2.420001220703125
2019-08-04,2019-08-10,-0.4,-4.060003662109375
2019-08-11,2019-08-17,21.6,-3.1199951171875
2019-08-18,2019-08-24,-1.0,3.7399963378906365
2019-08-25,2019-08-31,-0.6,4.479998779296864
2019-09-01,2019-09-07,0.2,3.9
2019-09-08,2019-09-14,-8.0,-3.139996337890625
2019-09-15,2019-09-21,-18.2,-4.0
2019-09-22,2019-09-28,14.0,-3.340002441406239
2019-09-29,2019-10-05,9.0,-1.550003051757841
2019-10-06,2019-10-12,1.0,0.9333394368489394
2019-10-13,2019-10-19,2.0,-1.0
2019-10-20,2019-10-26,-14.0,-1.0666707356770455
2019-10-27,2019-11-02,12.0,0.47999877929686363
2019-11-03,2019-11-09,-12.0,0.22000122070313638
2019-11-10,2019-11-16,4.2,-2.8000000000000056
2019-11-17,2019-11-23,2.8,-1.3599975585937614
2019-11-24,2019-11-30,-17.6,0.059997558593761366
2019-12-01,2019-12-07,18.0,0.2
2019-12-08,2019-12-14,-0.2,1.3600006103515567
2019-12-15,2019-12-21,-4.0,1.4199981689453125
2019-12-22,2019-12-28,-4.8,-2.0999969482421874
2019-12-29,2020-01-04,-2.2,2.819998168945324
2020-01-05,2020-01-11,-7.0,3.8799987792968635
2020-01-12,2020-01-18,-13.0,-3.0
2020-01-19,2020-01-25,12.0,-0.4
2020-01-26,2020-02-01,-4.4,-0.6199951171875
2020-02-02,2020-02-08,14.0,0.8399963378906363
2020-02-09,2020-02-15,-14.6,-3.559997558593767
2020-02-16,2020-02-22,-2.4,-2.780001831054682
2020-02-23,2020-02-29,-4.0,-3.3600006103515567
2020-03-01,2020-03-07,-37.25,-1.6499977111816477
2020-03-08,2020-03-14,-11.6,-26.075000762939453
2020-03-15,2020-03-21,15.6,1.1800003051757812
2020-03-22,2020-03-28,1.2,0.059999084472659094
2020-03-29,2020-04-04,22.0,4.039999389648434
2020-04-05,2020-04-11,13.0,-2.2666651407877603
2020-04-12,2020-04-18,1.8,5.699999491373698
2020-04-19,2020-04-25,26.33333333333333,-3.679998779296878
2020-04-26,2020-05-02,-23.4,2.4666646321614727
2020-05-03,2020-05-09,2.4,2.160000610351557
2020-05-10,2020-05-16,5.2,1.9600006103515626
2020-05-17,2020-05-23,-24.5,9.0
2020-05-24,2020-05-30,-13.8,-0.15000152587890625
2020-05-31,2020-06-06,2.0,-4.239999389648437
2020-06-07,2020-06-13,0.2,-2.5999984741210938
2020-06-14,2020-06-20,5.2,-0.320001220703125
2020-06-21,2020-06-27,38.99999313354488,41.0
2020-06-28,2020-07-04,-17.399993133544875,-2.4800004959106445
2020-07-05,2020-07-11,3.2,-11.44000072479248
2020-07-12,2020-07-18,19.2,-6.139996337890625
2020-07-19,2020-07-25,17.75,-0.06000366210936363
