first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,-2.8249969482421875,5
2019-03-17,2019-03-23,-8.75,5
2019-03-24,2019-03-30,0.1999969482421875,5
2019-03-31,2019-04-06,-4.550003051757798,5
2019-04-07,2019-04-13,4.424999237060554,5
2019-04-14,2019-04-20,-0.75,5
2019-04-21,2019-04-27,-3.650001525878892,5
2019-04-28,2019-05-04,-2.650001525878899,5
2019-05-05,2019-05-11,3.724998474121108,5
2019-05-12,2019-05-18,3.0,5
2019-05-19,2019-05-25,-4.599998474121108,5
2019-05-26,2019-06-01,-7.149997711181648,5
2019-06-02,2019-06-08,3.424999237060547,5
2019-06-09,2019-06-15,1.5750007629394531,5
2019-06-16,2019-06-22,4.474998474121101,5
2019-06-23,2019-06-29,0.4250030517578125,5
2019-06-30,2019-07-06,-2.474998474121108,5
2019-07-07,2019-07-13,-1.6500015258788991,5
2019-07-14,2019-07-20,-2.5,5
2019-07-21,2019-07-27,-0.549999237060554,5
2019-07-28,2019-08-03,-0.47499847412110086,5
2019-08-04,2019-08-10,1.125,5
2019-08-11,2019-08-17,-2.625,5
2019-08-18,2019-08-24,0.5,5
2019-08-25,2019-08-31,-1.0,5
2019-09-01,2019-09-07,-2.8999977111816477,5
2019-09-08,2019-09-14,2.674999237060554,5
2019-09-15,2019-09-21,-1.9333343505859375,4
2019-09-22,2019-09-28,3.700000762939446,5
2019-09-29,2019-10-05,-0.650001525878892,2
2019-10-06,2019-10-12,0.25,3
2019-10-13,2019-10-19,-1.0666656494140625,3
2019-10-20,2019-10-26,-0.20000203450520834,3
2019-10-27,2019-11-02,0.47500228881835227,5
2019-11-03,2019-11-09,6.950000762939453,5
2019-11-10,2019-11-16,3.474998474121108,5
2019-11-17,2019-11-23,1.1999969482421875,5
2019-11-24,2019-11-30,-1.0749969482421875,5
2019-12-01,2019-12-07,-1.125,5
2019-12-08,2019-12-14,-1.25,5
2019-12-15,2019-12-21,-1.7999954223632955,5
2019-12-22,2019-12-28,0.25,5
2019-12-29,2020-01-04,-0.3000030517578125,5
2020-01-05,2020-01-11,-2.9000015258789205,5
2020-01-12,2020-01-18,1.4250030517578125,5
2020-01-19,2020-01-25,1.0500030517578125,5
2020-01-26,2020-02-01,-0.3000030517578125,5
2020-02-02,2020-02-08,-1.25,5
2020-02-09,2020-02-15,2.500000000000007,5
2020-02-16,2020-02-22,1.224998474121108,5
2020-02-23,2020-02-29,-1.6999969482421875,5
2020-03-01,2020-03-07,-7.233332316080738,4
2020-03-08,2020-03-14,-6.799997965494801,4
2020-03-15,2020-03-21,2.525001525878899,5
2020-03-22,2020-03-28,5.849998474121101,5
2020-03-29,2020-04-04,0.0,5
2020-04-05,2020-04-11,1.4666646321614678,3
2020-04-12,2020-04-18,-1.75,3
2020-04-19,2020-04-25,-0.02499771118164773,5
2020-04-26,2020-05-02,-0.9499969482422017,3
2020-05-03,2020-05-09,0.025001525878899145,5
2020-05-10,2020-05-16,4.525001525878892,5
2020-05-17,2020-05-23,6.25,5
2020-05-24,2020-05-30,1.0,4
2020-05-31,2020-06-06,8.450004577636719,5
2020-06-07,2020-06-13,-5.275001525878906,4
2020-06-14,2020-06-20,7.275001525878906,5
2020-06-21,2020-06-27,-7.375,5
2020-06-28,2020-07-04,5.0,5
2020-07-05,2020-07-11,-1.25,5
2020-07-12,2020-07-18,0.27500152587890625,5
2020-07-19,2020-07-25,-1.25,5
2020-07-26,2020-08-01,-1.5999984741210938,4
